content,score,label,word_count,clean_text
Aplikasi yang sangat bermanfaat bagi siswa di jaman sekarang yang dikemas secara simple tapi tidak membosankan dalam metode pembelajaraan..,5,Positif,19,manfaat siswa jaman kemas simple bosan metode pembelajaraan
Saya kemarin kedatangan ruang guru di sekolah awalnya ruang guru hanya sekedar pembelajaran biasa tapi kata teman itu bisa membantu semua pelajaran dan kebetulan di sekolah ruang guru promosi dan menggunakan kode jadi ny ortu menyuruh saya untuk bergabung di ruang guru,5,Positif,42,kemarin datang ruang guru sekolah ruang guru dar ajar teman bantu ajar sekolah ruang guru promosi kode ny ortu suruh gabung ruang guru
"Loadingnya lama banget , masa mau download video dari bulan kemarin sampai sekarang belum keunduh2 . Saat streaming juga lama banget. Mohon diperbaiki ,",2,Negatif,24,loadingnya banget download video kemarin unduh streaming banget mohon baik
Bisa banyak tau tentang semua bidang ilmu.,5,Positif,7,tau bidang ilmu
aplikasi yang sangat bermanfaat buat para pelajar terimakasih banyak RUANG GURU🙏🏻🙏🏻,5,Positif,11,manfaat ajar terimakasih ruang guru
Kak kenapa aku chat di wa kok ndak direspon mohon minta bantu,1,Negatif,12,kak chat wa ndak direspon mohon bantu
"Bagus ni aplikasi ini, karena biar naik kls Ya kan",5,Positif,10,bagus ni biar kls
Intinya w makin ngerti aiikkhh karena nie apk🙁❤,4,Positif,8,inti w ngerti aiikkhh nie apk
"Ruang guru luar biasa membuat saya yang awalnya kurang suka belajar jadi ingin terus belajar,,, terima kasih ruang guru",5,Positif,19,ruang guru suka ajar ajar terima kasih ruang guru
Fitur leaderboard drill soalnya gak ada lgi. Kecewa,1,Negatif,8,fitur leaderboard drill gak lgi kecewa
gimana cara buat belajar nya,5,Positif,5,gimana ajar
"Masih ngiklan di TV gk,kalo udah gak ngiklan tv nya mau tak keluarin lg dr lemari es,",1,Negatif,17,ngiklan tv gkkalo udah gak ngiklan tv keluarin lg dr lemari es
Alhamdulillah selama saya sd dari kelas 1-5 jadi juara kelas,5,Positif,10,alhamdulillah sd kelas juara kelas
"Aplikasi gila,lemot padahal udah di perbarui",1,Negatif,6,gilalemot udah baru
"Hallo saya titi suryaningsih, saya disini mengikuti pelatihan skill academy by ruang guru, yg memang disini sangat bermanfaat dan membantu untuk menambah ilmu dan wawasan terhadap dunia kerja, Terima kasih",5,Positif,30,hallo titi suryaningsih ikut latih skill academy by ruang guru manfaat bantu tambah ilmu wawas dunia kerja terima kasih
"Tolong tambahkan materi sastra Inggris, sastra Indonesia, Antropologi, dan PKN. Karena penggunaannya tidak hanya jurusan MIPA dan IPS saja. Tapi ada jurusan Bahasa. Terima kasih",5,Positif,25,tolong tambah materi sastra inggris sastra indonesia antropologi pkn guna jurus mipa ips jurus bahasa terima kasih
"maaf kak, akhir2 ini fitur adapto nya ga bisa digunakan. Setiap aku mau gunain video nya jadi lag dan g bisa muter, tolong di bantu yya kakk huhu :(( fitur Adapto berguna bangett soalnya 🙏",2,Negatif,35,maaf kak fitur adapto ga gunain video lag g muter tolong bantu yya kakk huhu fitur adapto guna bangett
kok ini akun saya tidak bisa menjalankan vidio di ruang guru sih padahal di hp lain lancar muter scara online tolong donk ini gmana ?,2,Negatif,25,akun jalan vidio ruang guru hp lancar muter scara online tolong donk gmana
Aplikasi ini jelek karena susah ngeliat vidionya berlangganan udah kok belum ke buka 👎👎👊,1,Negatif,14,jelek susah ngeliat vidionya langgan udah buka
Bagus sih tapi aku gak tau gimana cara bayar Nya,5,Positif,10,bagus gak tau gimana bayar
"Aplikasi yg bermanfaat membantu kita dalam belajar, lengkap dari sd sampai smk pun ada semua. Semoga terus berkembang menjadi lebih baik 👍",1,Negatif,22,manfaat bantu ajar lengkap sd smk moga kembang
"hati hati membayar jutaan jangan percaya, coba kak iqbal mana",1,Negatif,10,hati hati bayar juta percaya coba kak iqbal
aku suka pakai aplikasi ruang guru,5,Positif,6,suka pakai ruang guru
kenapa si ruang guru udah berlangganan aneh vidionya berhenti mulu,1,Negatif,10,si ruang guru udah langgan aneh vidionya henti mulu
Enak ngajarinnya. Masuk ke otak semua,5,Positif,6,enak ngajarinnya masuk otak
Promosi jangan di semua tv gw mau nonton joko sama wulan nikah :v,1,Negatif,13,promosi tv gw nonton joko wulan nikah v
Lho kok nggak ada sbk 😥😪😫penjas budi pekerti bahasa inggris segala macem ips pkn aja gak ada............. . . . Tolong diperbanyak lagi mata pelajaranya.,5,Positif,25,lho nggak sbk jas budi pekerti bahasa inggris macem ips pkn gak tolong banyak mata pelajaranya
Guru elek karena wong edan,1,Negatif,5,guru elek edan
"Bagus, Bisa membuat Saya untuk belajar menjadi Fokus",5,Positif,8,bagus ajar fokus
"Hai Ruangguru, saya memiliki keluh kesah dengan pengiklanan aplikasi anda di TV saya tau aplikasi anda suda dipercaya seluruh Indonesia tapi mohon jangan semua channel TV iklan nya Ruangguru kalo bisa buat channel TV sendiri lah..!!",1,Negatif,36,hai milik keluh kesah iklan tv tau suda percaya indonesia mohon channel tv iklan kalo channel tv
kasi bintang 2 dulu saya ingin me coba tryout soal UNBK &USBN,2,Negatif,12,kasi bintang me coba tryout unbk usbn
ini bagus banget sumpah dah,5,Positif,5,bagus banget sumpah dah
"Spam terus di Wa sangat tidak profesional, padahal sudah dibilang tidak minat Seperti Sales obat",1,Negatif,15,spam wa profesional bilang minat sales obat
Acara tv babad semua ganggu aja hmmm,1,Negatif,7,acara tv babad ganggu hmmm
Ruan guru emang kereen,5,Positif,4,ruan guru emang kereen
"Bagus aplikasinya sangat membantu untuk pelajar sd , smp , dan sma Terimakasih ruang guru",1,Negatif,15,bagus aplikasi bantu ajar sd smp sma terimakasih ruang guru
the best bngt ruang guru💓,5,Positif,5,the best bngt ruang guru
Untuk Sekolah SMK juga seharusnya ada kak masa sma aja,2,Negatif,10,sekolah smk kak sma
Kak kok ruang guru saya setelah diupdate kok malah bermasalah ya Materinya enggak bisa muncul😖😖😖 Tolong dibantu ya kak,2,Negatif,19,kak ruang guru diupdate masalah materi muncul tolong bantu kak
Aplikasinya sih bagus saya gak ada kendala gak bisa buka aplikasi tapi tolong di perbaiki sistem Latihannya Setiap saya selesai Kerjain latihan gak bisa dikumpulkan / mohon maaf sistem sedang error sedang bermasalah,1,Negatif,33,aplikasi bagus gak kendala gak buka tolong baik sistem latih selesai kerjain latih gak kumpul mohon maaf sistem error masalah
"Ruang guru terpercaya, nilai aku meningkat dan orang tua jadi bangga",5,Positif,11,ruang guru percaya nilai tingkat orang tua bangga
"jujur tertanggung dgn iklan yang terlalu lama kesan nya memaksa(cuci otak)dan program"" ruang guru saat ditv.saya download untuk menyampaikan keresahan saya saja.untuk apl ini knp harus bayar kata nya mau memajukan anak bangsa...kasih gratis klau mau majuin anak bangsa, minta sama pemerintah untuk bayarin bukan perorangan byr. untuk dosen pengajar/video bisa digunakan untuk tahun ke tahun (diulang"") tidak ngerekam lgi kan paling cuman nambah pelajaran dikit saja klau ada yg baru. apl terlalu mahal",1,Negatif,74,jujur tanggung dgn iklan kesan memaksacuci otakdan program ruang guru ditvsaya download resah sajauntuk apl knp bayar maju anak bangsakasih gratis klau majuin anak bangsa perintah bayarin orang byr dosen pengajarvideo ulang ngerekam lgi cuman nambah ajar dikit klau apl mahal
Sangat bagus nilai saya menjadi naik,5,Positif,6,bagus nilai
Cara penjelasan nya rumit dan gak jelas beda dengan penjelasan orang rendahan yang mudah dimengerti apaan katanya bisa membuat orang menjadi pintar malah buat orang makin stress,1,Negatif,27,jelas rumit gak beda jelas orang rendah mudah erti orang pintar orang stress
Keren😘😍😍😍 dengan adanya ruang guru sangat membantu belajar saya😊 thanks ruang guru,5,Positif,12,keren ruang guru bantu ajar thanks ruang guru
"Sebel sih, pas mau belajar selalu videonya loading trs padahal sinyal ada dan data juga ada, mohon diperbaiki nanti kalau sudah bagus saya kasih bintang 5",2,Negatif,26,sebel pas ajar video loading trs sinyal data mohon baik bagus kasih bintang
Enak untuk di pelajari,5,Positif,4,enak ajar
Aku mau nanya nih bayar online yaa,5,Positif,7,nanya nih bayar online yaa
"Sama2nya streaming & download video, mending bimbel di youtube gratis tanpa biaya langganan cuma modal kuota aja. Lha ini masih langganan bulanan masih streaming/downlaod pula. Kan tetep aja 2x pengeluaran.. hadewh.. harusnya bila ingin bantu majunya pendidikan negri ini, geratiskanlah..",1,Negatif,40,sama streaming download video mending bimbel youtube gratis biaya langgan modal kuota lha langgan bulan streamingdownlaod tetep x keluar hadewh bantu maju didik negri geratiskanlah
kalo bisa jangan email,1,Negatif,4,kalo email
"Bagus,,, buat latihan belajar d rumah jd g bingung ngasih soal buat anak😍😍",5,Positif,13,bagus latih ajar d rumah jd g bingung ngasih anak
Sangat membantu dalam belajar anak sana,5,Positif,6,bantu ajar anak
"Aku suka banget sma ruang guru ini , karena ruang guru tlah membantu sy 
mengerjakan soal soal , soal yg tadinya susah jadi gampang... Terima ksih 
kpda ruang guru dan terima ksih juga sma yg buat ini , ini itu bagus 
bangeettt sy jadi dpt nilai 100 dari sklh sy ... Sekali lagi sy terima kasih",5,Positif,56,suka banget sma ruang guru ruang guru tlah bantu sy susah gampang terima ksih kpda ruang guru terima ksih sma bagus bangeettt sy dpt nilai sklh sy sy terima kasih
"Mahal Bener, mending yang gratis dr kementrian, orang jual tulisan sama video aja mahal bener. parah 2",1,Negatif,17,mahal bener mending gratis dr tri orang jual tulis video mahal bener parah
Kenapa mau lihat videonya mbayar,1,Negatif,5,lihat video mbayar
videonya susah dibuka ataupun di download bisanya 0% terus. pdhl materinya bagus,2,Negatif,12,video susah buka download bisa pdhl materi bagus
Ruang guru adalah ruang belajar saya suka,5,Positif,7,ruang guru ruang ajar suka
"senang sekali saya ada ruang g uru,dulu nilai saya sangat kecil 60,70 sekarang menjadi 80 90 100",5,Positif,17,senang ruang g urudulu nilai
Ruang guru burik dasar diiklan kaya bagus tapi jelek kalian ga bileh download,1,Negatif,13,ruang guru burik dasar iklan kaya bagus jelek ga bileh download
RUANG GURU sangat bagus sekali buat aku KEVIN,5,Positif,8,ruang guru bagus kevin
"Ruang guru memang de beast ! Mantappp semua tv di bajak ya guys. Mending duit iklan lu saluran ke sekolah"" biar meringankan biaya spp . Sekolah kagak tv pun di bajak . Mending keluyuran kalo gini mah",1,Negatif,37,ruang guru de beast mantappp tv bajak guys mending duit iklan lu salur sekolah biar ringan biaya spp sekolah kagak tv bajak mending keluyur kalo gin mah
kalo sudah tidak berlangganan jangan spam plis,1,Negatif,7,kalo langgan spam plis
Jangan pernah donload aplikasi ini,1,Negatif,5,donload
Saya sangat senang saat saya belajar memakai aplikasi ruang guru karena dari situlah saya mulai ada pengalaman dan nilai saya begitu bagus dengan aplikasi ruang guru saya mulai giat belajar terus saya sangat berterima kasih kepada ruang guru yang telah membantu saya terimah kasih ruang guru😍😘🤩,5,Positif,46,senang ajar pakai ruang guru situ alam nilai bagus ruang guru giat ajar terima kasih ruang guru bantu terimah kasih ruang guru
"Makasih ruangguru aku mendapat nilai yg lebih bagus dan lebih ngerti materinya,ruang guru the best",5,Positif,15,makasih nilai bagus ngerti materinyaruang guru the best
game apaan inii ??? isinya cuman pelajaran gowblok anaji**,1,Negatif,9,game ini isi cuman ajar gowblok anaji
Aku nggak tau nggunainya wkwkwk,1,Negatif,5,nggak tau nggunainya wkwkwk
Saya ksh 2bntng dl klw bgs gue tmbh lg,2,Negatif,9,ksh bntng dl klw bgs gue tmbh lg
Thanks Ruang Guru You The Best,5,Positif,6,thanks ruang guru you the best
"Saya sudah membeli kelas diruang guru by skill academy, suka banget",5,Positif,11,beli kelas ruang guru by skill academy suka banget
bismillah semoga bisa belajar di sini,5,Positif,6,bismillah moga ajar
Kok pas mau belajar ruang belajar kok ada nya kelas 9 doang sih kelas 8 nya gk ada di gimanain sih Tolong dibantu!!,2,Negatif,23,pas ajar ruang ajar kelas doang kelas gk gimanain tolong bantu
"Mantap......., Menambah ilmu kpda kita",5,Positif,5,mantap tambah ilmu kpda
"Q akan coba tadi q liat di tv penjelasab ruang guru kayak nya asik ngga 
bikin ngantuk",5,Positif,17,q coba q liat tv penjelasab ruang guru kayak asik ngga bikin ngantuk
Apakah ruangguru bisa untuk pembelajaran mahasiswa?,2,Negatif,6,ajar mahasiswa
kembalikan paket ruang belajar tanpa utbk,2,Negatif,6,kembali paket ruang ajar utbk
"Pokoknya buat aplikasi ini sangat keren. Saya jadi gak usah jauh2 mau 
keluar cari guru bantu karna dengan aplikasi ini semuanya jadi gampang...",5,Positif,23,pokok keren gak cari guru bantu karna gampang
Tolong tambahkan untuk anak SMK,5,Positif,5,tolong tambah anak smk
Ngak ada belajar Sholawat 😭,1,Negatif,5,ngak ajar sholawat
"Aplikasi Ruangguru ini membuat saya lebih semangat belajar karna materi soal soalnya sama persis ama yang kayak di ujian. Aku pun saat ini jadi semangat belajarnya karna dulu sebelum saya tau apk ini saya sering kesulitan mengerjakan tugas,ya sebenernya banyak contohnya tapi kalo belum tau mangsud dari contoh materi itu ya walau bisa mengerjakan ya nanti pas ujian lupa lagi. Jadi kalo di Ruangguru bisa di kasih penjelasan mangsud dari materi tersebut.",5,Positif,72,semangat ajar karna materi persis ama kayak uji semangat ajar karna tau apk sulit tugasya sebenernya contoh kalo tau mangsud contoh materi pas uji lupa kalo kasih jelas mangsud materi
pertama kali masuk aplikasi ruang guru..sangat senang sekali dengan materi yg mudah di mengerti.. Vidio nya mudah di pahami..keren..,5,Positif,19,kali masuk ruang gurusangat senang materi mudah erti vidio mudah pahamikeren
Aplikasi ini harganya sangat mahal,2,Negatif,5,harga mahal
"sarannya untuk ruangguru... tolong tambahin materinya dong🙏 untuk MTs kaya pelajaran b.arab dan lain²... tapi aku bersyukur banget atas kehadiran ruangguru yg membuat belajar jadi mengasikan,seru,beranimasi thanks😍😊buat ruangguru the best lah...",5,Positif,31,saran tolong tambahin materi mts kaya ajar barab lain syukur banget hadir ajar mengasikanseruberanimasi thanksbuat the best
Kak mau tanya harga bimbel ruangguru brp ya mks,1,Negatif,9,kak harga bimbel brp mks
terima kasih ruangguru.aplikasi ini sangat membatu saya dalam belajar,5,Positif,9,terima kasih ruangguruaplikasi batu ajar
GW KASIH BINTANG SATU,1,Negatif,4,gw kasih bintang
Wah ini bagus nih buat masa depan jadi anak terjamin.....,4,Positif,10,bagus nih anak jamin
Tadi memperbarui app ini tmanpa tiba tuba memakai email,2,Negatif,9,baru app tmanpa tuba pakai email
Belajar kok bayar.gurunya ga iklas ni.mending tanya google,1,Negatif,8,ajar bayargurunya ga iklas nimending google
Kenapa gk nisa di update?,1,Negatif,5,gk nisa update
"terimakasih ruangguru,berkat ruang guru anak saya semakin giat belajar😃",5,Positif,9,terimakasih ruangguruberkat ruang guru anak giat ajar
Ko Di App Ini Ga Ada Pelajaran Utuk SMK?,2,Negatif,9,ko app ga ajar utuk smk
Tolong dong pkn agama islam prakarya senbud toloomg tambahkaaan:(,2,Negatif,9,tolong pkn agama islam prakarya senbud toloomg tambahkaaan
Aplikasinya bagus dan ajaran pun bagus,1,Negatif,6,aplikasi bagus ajar bagus
"Ozi saputra, @com /Bejo. 146.1972",2,Negatif,5,ozi saputra bejo
Kurang buat vc dalam komunikasi,4,Positif,5,vc komunikasi
saya sudah bayar dan daftar setelah 1 bualanan aplikasi ruang guru kalo dibuka langsung keluar gabisa dibuka saya rugiii 500.000 bagaimana ini kalo tetap tidak bisa dibuka saya minta uang saya dikembalikan.,1,Negatif,32,bayar daftar bualanan ruang guru kalo buka langsung gabisa buka rugiii kalo buka uang kembali
Saya tdk mengerti untuk aplikasi ini mangkanya saya buat 1bintang,1,Negatif,10,tdk erti mangkanya bintang
"assalamu'alaikum .saya mau usul gimana klo ruang guru juga dikasih materi buat anak SMK ,semisal jurusan RPL,TSM atau yg lain materi"" yg ada si SMK ,😊😉",1,Negatif,26,assalamualaikum usul gimana klo ruang guru kasih materi anak smk jurus rpltsm materi si smk
"Kentot, ngapain tayang di semua tv anjink. Ganggu hiburan gua anjink. Gua download ini cuma mau ngasih bintang 1. Iklan lo ganggu kami anjink. Apa lagi ibu2 yang ingin nonton sinetron. Emang pantek kou ya",1,Negatif,35,kentot ngapain tayang tv anjink ganggu hibur gua anjink gua download ngasih bintang iklan lo ganggu anjink nonton sinetron emang pantek kou
Aplikasinya bagus dan video nya mudah dipahami,5,Positif,7,aplikasi bagus video mudah paham
Bro kok kode verifikasi nya ngak masuk sih?,1,Negatif,8,bro kode verifikasi ngak masuk
Manteplah dulu bener bener gak bisa nerap apa yg guru ajarin skrg pake ruang guru jd duluan tau nilai juga ya tetap 80 an,5,Positif,24,manteplah bener bener gak nerap guru ajarin skrg pake ruang guru jd duluan tau nilai an
Ruang guru itu seru banget kalian rugi gak download download sekarang juga,5,Positif,12,ruang guru seru banget rugi gak download download
Aku belajar menjadi lebih mudah Terima kasih Ruangguru,5,Positif,8,ajar mudah terima kasih
Wah hebat banget debelum aku pakek aplikasi ruang guru nilai mate matika aku 30 45 dan 55 sekarang 80 keatas makasih ruang guru,5,Positif,23,hebat banget debelum pakek ruang guru nilai mate matika atas makasih ruang guru
Aku akan membintangkan ruang guru👩,1,Negatif,5,bintang ruang guru
App ini sangat membantu saya dalam belajar dan sangat direkomendasikan bagi orangtua yg menginginkan anaknya menggunakan HP dengan baik,5,Positif,19,app bantu ajar rekomendasi orangtua anak hp
Bikin belajar jadi mudah dan rajin. Semangat belajar juga jadi membara😉,5,Positif,11,bikin ajar mudah rajin semangat ajar bara
Semoga bermanfaat buat saya tapi ko sayangnya katanya berbayar,1,Negatif,9,moga manfaat ko sayang bayar
Loh kok saya download kok gabisa tolong kasih tau dong ga bisa di download 🙏🙏🙏🙏,1,Negatif,15,loh download gabisa tolong kasih tau ga download
Bagusan Brainly Gratis praktis bisa di tanya jawab pula nggak kaya apk ini bayar mahal eh sini nggak paham😏,1,Negatif,19,bagus brainly gratis praktis nggak kaya apk bayar mahal eh nggak paham
"Bagus banget buat belajar !Gk ngebosenin , jadi semangat belajarnya!",5,Positif,10,bagus banget ajar gk ngebosenin semangat ajar
Wah bagus sekali aplikasi ruang guru,5,Positif,6,bagus ruang guru
Aplikasinya hebat berkat ruang guru anak sya nilainya bagus bagus terimakasih👍,5,Positif,11,aplikasi hebat berkat ruang guru anak sya nilai bagus bagus terimakasih
Cara daftar nya bagaimana y tolong y Di ajarin y?,2,Negatif,10,daftar y tolong y ajarin y
Aplikasi ruang guru sangat membantu saya dalam memahami setiap pembelajaran yang belum saya pahami dari penjelasan guru dan di buku paket,5,Positif,21,ruang guru bantu paham ajar paham jelas guru buku paket
"Semoga aku dapet yg seperti teman tenan,dapet 90 keatas,aamiin ,soalnya di appnya aku bener terus kuisnya😁😁",5,Positif,16,moga dapet teman tenandapet keatasaamiin appnya bener kuis
Ganggu org lagi nonton aja lu,1,Negatif,6,ganggu org nonton lu
"Yaah sayang sekali , entah kenapa hp saya tidak support dengan aplikasi ini , setiap mau buka aplikasinya , hp saya selalu reboot dengan sendirinya Padahal pengen banget nyoba .....",4,Positif,30,yaah sayang hp support buka aplikasi hp reboot ken banget nyoba
"Aplikasi ini sangat bagus sekali dan membantu saya dalam belajar,tapi saya mau tanya,untuk yang sekolah online ini sesi2 sebelumnya bisa ditonton lagi sampai jam berapa ya? apa ada batas nya?soalnya kalo yang live streaming itu kadang saya ada yang kurang paham.sekian dari saya terima kasih",5,Positif,45,bagus bantu belajartapi tanyauntuk sekolah online sesi tonton jam batas nyasoalnya kalo live streaming kadang pahamsekian terima kasih
Wah saya suka dengan ruang guru ini membantu saya untuk belajar,5,Positif,11,suka ruang guru bantu ajar
"gan,,saya mau nnyak nih untuk smk gk ada yah? jurusan pengelasan",2,Negatif,11,gansaya nnyak nih smk gk yah jurus kelas
Yang enggak install pasti nyesel karena ruang guru pengajarannya sangat bagus,5,Positif,11,install nyesel ruang guru ajar bagus
"Hi,developer/admin aplikasi RG (RuangGuru) Tolong jangan nge WhatsApp gua lagi,kagak ada hubungannya sekarang,gua dha gakk punya ruang guru lagi,ini gua download cuma untuk mau ngasih bintang ama komentar aja.So jangan ngechet atau nge Email gua lagi please......Gua dah gak punya ini apk,ohh ya gua mau tanya ruang tata usaha sama ruang kepala sekolah di mana?",1,Negatif,55,hideveloperadmin tolong nge whatsapp gua lagikagak hubung sekaranggua dha gakk ruang guru lagiini gua download ngasih bintang ama komentar ajaso ngechet nge email gua pleasegua dah gak apkohh gua ruang tata usaha ruang kepala sekolah
Pas gua jawab pertanyaan dan ngumpulin malah terjadi kesalahan dan coba lagi,1,Negatif,12,pas gua ngumpulin salah coba
Alesan 1 pulsa bonus referal dari juli sampe sekarang belum masuk kalah sama apk jualan pulsa lain alesan 2 gua udh download videonya tra gua update malah ngilang semuanya APK KORUPTOR !!,1,Negatif,32,alesan pulsa bonus referal juli sampe masuk kalah apk jual pulsa alesan gua udh download video tra gua update ngilang apk koruptor
"aku jadi masuk sepuluh besar berkat ruang guru, terimakasih atas pembelajaran yang sudah ruang guru berikan",5,Positif,16,masuk puluh berkat ruang guru terimakasih ajar ruang guru
saya ingin bertanya kenapa saat saya mengulpulkan latihan sistemnya sering bermasalah,2,Negatif,11,mengulpulkan latih sistem masalah
"kak, maaf sebelumnya. ko aplikasiku error trs yah? gak muncul mata pelajarannya, jadi gak bisa belajar deh. aku udh berlangganan 1 thn. trs juga udah aku update aplikasinya. tolong ka perbaiki secepatnya akunku :( udah seharian errornya.",2,Negatif,37,kak maaf ko aplikasi error trs yah gak muncul mata ajar gak ajar deh udh langgan thn trs udah update aplikasi tolong ka baik cepat akun udah hari errornya
Kalo ada bintang 200 aku pasti akan kasih bintang 200,5,Positif,10,kalo bintang kasih bintang
penggunaan ruang guru saya ingin belajar tidak perlu menggunakan buku pelajaran,1,Negatif,11,guna ruang guru ajar buku ajar
"sering terjadi kesalahan pada sistem dan kadang tidak bisa masuk aplikasi, tolong segera diperbaiki..",2,Negatif,14,salah sistem kadang masuk tolong baik
Apk nya bagus beut..pertamanya ga terlalu berpengaruh sama nilai tpi lama kelamaan belajar disini jdi nilainya nambahh..thx ruang guru😍,4,Positif,19,apk bagus beutpertamanya ga pengaruh nilai tpi ajar jdi nilai nambahhthx ruang guru
Sangat bagus untuk membantu anak belajar,5,Positif,6,bagus bantu anak ajar
Dapat membantu siswa yang kurang pengetahuan ya,5,Positif,7,bantu siswa tahu
"sampah, niat mau cari informasi di website ruangguru, setiap scroll muncul iklan mulu, menjengkelkan 👎👎👎",1,Negatif,15,sampah niat cari informasi website scroll muncul iklan mulu jengkel
"Jelek banget masa saya belajar di sini makin pusing, guru nya kaga seru semua ,klo di tanya ga di jawab, kok ga sesuai ekspetasi saya ya?",1,Negatif,26,jelek banget ajar pusing guru kaga seru klo ga ga sesuai ekspetasi
"Alus ku kawla di bere ☆4 hampura,kawla geleh ka si ruben hampura ayanun",4,Positif,13,alus ku kawla bere hampurakawla geleh ka si ruben hampura ayanun
Kenapa ruang bacanya gk bisa dibuka???,1,Negatif,6,ruang baca gk buka
"Belajar pakek ruang guru seru banget, pakai video jadi nggak bosen. Ruang guru kerenn😄😄💕",5,Positif,14,ajar pakek ruang guru seru banget pakai video nggak bosen ruang guru kerenn
"video pembelajarannya sudah bagus banyak fitur latihan, hanya saja fitur smart schedul snbt ""Misi kamu mingu ini sedang disipkan"" terus, udah chat ke kaka konsultan katanya lagi ditanyakan ke tim ruangguru nya,setelah seminggu masih ngga ada kejelasan terakhir kali tanya lagi malah ngga di jawab",2,Negatif,45,video ajar bagus fitur latih fitur smart schedul snbt misi mingu sip udah chat kaka konsultan tim nyasetelah minggu ngga jelas kali ngga
Saya kira apk ini tidak berbayar/gratis tapi ternyata jika ingin mengetahui penjelasannya harus bayar dulu.....kalo begitu ya sama aja seperti les ataupun bimbel..makannya saya kurang suka dengan apk ini kalo bayar yah jadi gak guna apk ino bagi yg tak punya uang banyak,2,Negatif,43,apk berbayargratis jelas bayar dulukalo les bimbelmakannya suka apk kalo bayar yah gak apk ino uang
"Tolong ya kalo gk niat buat bantu anak sekolahan di ruang les Online kgk usah ikutan ruangguru buang buang uang aja, dan tolong ya perbaiki lagi,yang kgk niat kgk usah ikutan, harusnya yang ikutan ruangguru itu orang orang frofesional",1,Negatif,39,tolong kalo gk niat bantu anak sekolah ruang les online kgk ikut buang buang uang tolong baik lagiyang kgk niat kgk ikut ikut orang orang frofesional
"ASSALAMUALAIKUM, perkenalkan nama saya Audrey . Maaf saya hanya berkata sedikit karena saya tidak tau harus berkata apa-apa Saya hanya berkata = ""Bagi yang tidak menginstal ini maka akan menyesal"" maaf kata2 saya hanya singkat dan maaf jika kata2 saya kurang enak jadi mohon dimaafkan",5,Positif,45,assalamualaikum kenal nama audrey maaf tau apaapa menginstal sesal maaf singkat maaf enak mohon maaf
Yang ikhlas lah kok bayar,1,Negatif,5,ikhlas bayar
Hilanglah dari Tv ku ;(,1,Negatif,5,hilang tv ku
"WOE KUTIL KOK LU SERAKAH AMAT SIH NYIARIN DI TV,KURANG PEMINAT.?",1,Negatif,11,woe kutil lu serakah nyiarin tvkurang minat
"Woi ini gmn,saya UAS nilai sebenarnya 100 tapi kok nol anjg g jelas bngt bngst,ngga bagus nih apk,gmn lh update nha yang bner",1,Negatif,23,woi gmnsaya uas nilai nol anjg g bngt bngstngga bagus nih apkgmn lh update nha bner
Aku lbh mngrti kbndng dngn gr sy,5,Positif,7,lbh mngrti kbndng dngn gr sy
"Ruang guru sang at bermanfaat karena nilai inggrisku dari 70,60 jadi 90,100",5,Positif,12,ruang guru sang at manfaat nilai inggris
Terimakasih sekaranh ak udah cerdas terimakasih aplikasi ruang guru,5,Positif,9,terimakasih sekaranh ak udah cerdas terimakasih ruang guru
Sangat mendukung bagi pelajar,5,Positif,4,dukung ajar
Hai saya salmawati saya sudah menyelesaikan pelatihan di skill academy ruang guru.. terima kasih skill academy dan ruang guru,5,Positif,19,hai salmawati selesai latih skill academy ruang guru terima kasih skill academy ruang guru
Em mau bilang kalo kadang kadang pas mau nyari jawaban ngeleg padahal wi finya gak ngelek pas pake data malah Tamba ngeleg mohon di perbaiki ya itu saja maaf kalo kata kataku menyinggung 😅🙀👍🙏🙏🙏,4,Positif,34,em bilang kalo kadang kadang pas nyari ngeleg wi finya gak ngelek pas pake data tamba ngeleg mohon baik maaf kalo kata singgung
"kenapa aplikasi ruang guru saya setiap dibuka tidak bisa malah ada bacaan ""aplikasi ruangguru telah terhenti""?",1,Negatif,16,ruang guru buka baca henti
"pdhl bot roboguru di whatsapp sangat membantu saya, tp knapa skrg tidak bisa digunakan lg? sejak sklh daring ini sudah banyak aplikasi yg sy download hingga memori hp penuh, jd tolong deh diupgrade lg supaya bisa nyari pertanyaan cukup di bot whatsapp, tanpa perlu download aplikasi ini",1,Negatif,47,pdhl bot roboguru whatsapp bantu tp knapa skrg lg sklh daring sy download memori hp penuh jd tolong deh diupgrade lg nyari bot whatsapp download
Bagus bisa buat belajar guru juga gak cuma siswa,4,Positif,9,bagus ajar guru gak siswa
Kenapa waktu baru di update malah gabisa dibuka ya? Mohon bantuannya,1,Negatif,11,update gabisa buka mohon bantu
Asalamualaikum Bagus untuk anak anak Assalamualaikum da da,5,Positif,8,asalamualaikum bagus anak anak assalamualaikum da da
Alhamdulillah berkat ruang guru saya bisa dapat juara 2 terima kasih ruang guru:)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))EH TAPI BOONG IYAHAHAAHA,1,Negatif,16,alhamdulillah berkat ruang guru juara terima kasih ruang gurueh boong iyahahaaha
